Title	Direct	DEFUSE	FUSE
gen	8.433	9.003	13.883
load	8.133	8.683	46.717
q01	0.950	1.014	2.467
q02	1.383	1.477	27.367
q03	1.100	1.174	13.117
q04	0.983	1.050	15.133
q05	1.617	1.726	6.550
q06	0.950	1.014	4.233
q07	1.017	1.085	3.017
q08	1.200	1.281	5.250
q09	0.750	0.801	3.117
q10	2.183	2.331	13.067
q11	0.917	0.979	2.867
q12	1.083	1.157	2.850
q13	1.067	1.139	3.383
q14	0.817	0.872	2.550
q15	0.933	0.996	2.683
q16	0.983	1.050	3.783
q17	0.850	0.907	2.667
q18	1.333	1.423	8.533
q19	1.417	1.512	6.333
q20	1.600	1.708	6.583
q21	0.833	0.890	3.283
q22	0.783	0.836	2.950
q23	0.583	0.623	2.150
q24	1.067	1.139	2.733
q25	1.933	2.064	5.433
q26	1.400	1.495	4.617
q27	1.550	1.655	3.350
q28	1.583	1.690	5.367
q29	0.800	0.854	3.717
q30	1.200	1.281	22.350
