Title	DEFUSE			FUSE		
gen	101.86	93.80	109.92	164.62	155.42	173.83
load	161.40	148.63	174.17	574.39	542.28	606.49
q01	105.04	96.73	113.35	259.65	245.14	274.16
q02	196.41	180.87	211.95	1978.31	1,867.74	2,088.89
q03	118.38	109.02	127.75	1192.42	1,125.78	1,259.07
q04	152.79	140.70	164.88	1538.98	1,452.96	1,625.00
q05	130.39	120.07	140.71	405.15	382.51	427.80
q06	137.31	126.45	148.18	445.61	420.71	470.52
q07	106.22	97.82	114.63	296.72	280.14	313.31
q08	137.31	126.45	148.18	437.50	413.05	461.95
q09	130.39	120.07	140.71	415.56	392.33	438.78
q10	176.44	162.48	190.40	598.47	565.02	631.92
q11	106.22	97.82	114.63	312.73	295.25	330.21
q12	105.04	96.73	113.35	263.08	248.37	277.78
q13	106.22	97.82	114.63	317.19	299.46	334.92
q14	104.57	96.29	112.84	312.24	294.79	329.70
q15	102.92	94.78	111.06	287.50	271.43	303.57
q16	120.75	111.20	130.31	384.75	363.24	406.25
q17	112.31	103.42	121.20	313.73	296.19	331.26
q18	176.44	162.48	190.40	640.00	604.23	675.77
q19	137.76	126.86	148.66	447.06	422.07	472.05
q20	132.42	121.94	142.90	411.46	388.46	434.46
q21	100.98	92.99	108.97	394.00	371.98	416.02
q22	100.00	92.09	107.91	376.60	355.55	397.64
q23	121.80	112.16	131.43	368.57	347.97	389.17
q24	130.30	119.99	140.61	256.25	241.93	270.57
q25	142.91	131.60	154.21	281.03	265.33	296.74
q26	112.01	103.15	120.87	329.76	311.33	348.19
q27	130.30	119.99	140.61	216.13	204.05	228.21
q28	113.51	104.53	122.49	338.95	320.00	357.89
q29	147.64	135.96	159.32	464.58	438.62	490.55
q30	208.62	192.11	225.13	1862.5	1,758.40	1,966.60
